2023-01-12,10207.5
2023-01-13,10319.375
2023-01-14,10319.375
2023-01-15,10319.375
2023-01-16,10479.285714285714
2023-01-17,10479.285714285714
2023-01-18,10441.363636363636
2023-01-19,10466.785714285714
2023-01-20,10239.722222222223
2023-01-21,10239.722222222223
2023-01-22,10239.722222222223
2023-01-23,10308.684210526315
2023-01-24,10362.727272727272
2023-01-25,10311.95652173913
2023-01-26,10131.73076923077
2023-01-27,9985.0
2023-01-28,9950.555555555555
2023-01-29,9950.555555555555
2023-01-30,9949.142857142857
2023-01-31,9979.39393939394
2023-02-01,9947.65625
2023-02-02,10027.03125
2023-02-03,10055.9375
2023-02-04,10042.121212121212
2023-02-05,10042.121212121212
2023-02-06,10095.0
2023-02-07,10281.07142857143
2023-02-09,10309.038461538461
2023-02-10,10147.115384615385
2023-02-11,10147.115384615385
